categoria,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,resposta_correta,referencia_biblica
Heroes of the Faith,What type of wood did God instruct Noah to use for the ark?,Gopher wood,Acacia wood,Cedar,Olive wood,A,Genesis 6:14
Heroes of the Faith,"According to Genesis, how long was Noah’s ark?",100 cubits,250 cubits,300 cubits,500 cubits,C,Genesis 6:15
Heroes of the Faith,How many days and nights did rain fall during the flood?,12 days,40 days and nights,80 days,150 days,B,Genesis 7:12
Heroes of the Faith,For how long did the waters prevail over the earth?,40 days,70 days,120 days,150 days,D,Genesis 7:24
Heroes of the Faith,How old was Joseph when he was sold by his brothers?,15,17,23,30,B,Genesis 37:2
Heroes of the Faith,Who informed Pharaoh about Joseph’s ability to interpret dreams?,Potiphar,The baker,The cupbearer,Judah,C,Genesis 41:12
Heroes of the Faith,What were the names of Joseph’s sons born in Egypt?,Dan and Naphtali,Ephraim and Manasseh,Reuben and Simeon,Judah and Levi,B,Genesis 41:51–52
Heroes of the Faith,How long did Moses’s mother hide him before placing him in the Nile?,One month,Three months,Six months,One year,B,Exodus 2:2
Heroes of the Faith,Who was Moses’s father-in-law?,Laban,Jethro,Cyrus,Balaam,B,Exodus 3:1
Heroes of the Faith,How old was Moses when he confronted Pharaoh?,40,60,80,120,C,Exodus 7:7
Heroes of the Faith,What was the first plague God sent upon Egypt?,Frogs,Darkness,Water turned to blood,Lice,C,Exodus 7:20
Heroes of the Faith,Where was Moses buried by the Lord?,Canaan,Sinai,Valley of Moab,Jerusalem,C,Deuteronomy 34:6
Heroes of the Faith,How tall was Goliath according to Scripture?,Five cubits,Six cubits and a span,Seven cubits,Nine cubits,B,1 Samuel 17:4
Heroes of the Faith,In which cave did David take refuge while fleeing Saul?,Cave of Machpelah,Cave of Adullam,Cave of En-gedi,Cave of Makkedah,B,1 Samuel 22:1
Heroes of the Faith,Who was the leader of David’s three mighty warriors?,Benaiah,Abishai,Josheb-basshebeth,Jonathan,C,2 Samuel 23:8
Heroes of the Faith,Who laid hands on Paul so that he regained his sight?,Peter,Barnabas,Ananias,Luke,C,Acts 9:17
Heroes of the Faith,How did Paul escape from Damascus?,Through an earthquake,By night in a basket,Escorted by soldiers,Hidden in a cave,B,Acts 9:25
Heroes of the Faith,In which city was Paul stoned and left for dead?,Derbe,Lystra,Antioch,Philippi,B,Acts 14:19
Heroes of the Faith,Where did Paul preach about the ‘unknown god’?,Rome,Athens,Corinth,Ephesus,B,Acts 17:23
Heroes of the Faith,Which Athenian official believed Paul’s message?,Felix,Dionysius,Agrippa,Gamaliel,B,Acts 17:34
Heroes of the Faith,What trade did Paul practice to support himself?,Carpentry,Fishing,Tentmaking,Stonework,C,Acts 18:3
Heroes of the Faith,Until what time did Paul preach before Eutychus fell?,Late evening,Midnight,Early morning,Dawn,B,Acts 20:7
Heroes of the Faith,"According to Paul, what fulfills the law?",Faith,Hope,Love,Obedience,C,Romans 13:10
Children of Israel,How many people of Jacob’s family went to Egypt?,12,50,70,120,C,Genesis 46:27
Children of Israel,How were Israel’s journeys guided in the wilderness?,By angels,By Moses alone,By cloud and fire,By trumpets,C,Exodus 13:21
Children of Israel,How many days did Israel travel in the wilderness of Shur without water?,Three,Five,Seven,Ten,A,Exodus 15:22
Children of Israel,Which mountain symbolized the curse for disobedience?,Mount Zion,Mount Carmel,Mount Ebal,Mount Sinai,C,Deuteronomy 27:13
Children of Israel,Who carried Israel into Assyrian captivity?,Nebuchadnezzar,Sennacherib,Tiglath-pileser,Cyrus,C,2 Kings 15:29
Children of Israel,How long did the Babylonian captivity last?,40 years,49 years,70 years,100 years,C,Jeremiah 25:11
Kings,What additional names were given to Solomon?,Jedediah and Lemuel,Joab and Lemuel,Jedediah and Joab,Lemuel and Jeremiah,A,2 Samuel 12:25; Proverbs 31:1
Kings,Which king established golden calves for worship?,Ahab,Jeroboam,Jehu,Joram,B,1 Kings 12:28
Kings,Who is described as Israel’s most wicked king?,Manasseh,Ahab,Menahem,Abimelech,B,1 Kings 21:25
